"Ano","Código da Grande Região","Nome da Grande Região","Código da Unidade da Federação","Sigla da Unidade da Federação","Nome da Unidade da Federação","Código do Município","Nome do Município","Região Metropolitana","Código da Mesorregião","Nome da Mesorregião","Código da Microrregião","Nome da Microrregião","Código da Região Geográfica Imediata","Nome da Região Geográfica Imediata","Município da Região Geográfica Imediata","Código da Região Geográfica Intermediária","Nome da Região Geográfica Intermediária","Município da Região Geográfica Intermediária","Código Concentração Urbana","Nome Concentração Urbana","Tipo Concentração Urbana","Código Arranjo Populacional","Nome Arranjo Populacional","Hierarquia Urbana","Hierarquia Urbana (principais categorias)","Código da Região Rural","Nome da Região Rural","Região rural (segundo classificação do núcleo)","Amazônia Legal","Semiárido","Cidade-Região de São Paulo","Valor adicionado bruto da Agropecuária a preços correntes(R$ 1.000)","Valor adicionado bruto da Indústria a preços correntes (R$ 1.000)","Valor adicionado bruto dos Serviços a preços correntes - exceto Administração em defesa educação e saúde públicas e seguridade social (R$ 1.000)","Valor adicionado bruto da Administração, defesa, educação e saúde públicas e seguridade social a preços correntes (R$ 1.000)","Valor adicionado bruto total a preços correntes (R$ 1.000)","Impostos, líquidos de subsídios, sobre produtos a preços correntes (R$ 1.000)","Produto Interno Bruto a preços correntes (R$ 1.000)","Produto Interno Bruto per capita a preços correntes (R$ 1,00)","Atividade com maior valor adicionado bruto","Atividade com segundo maior valor adicionado bruto","Atividade com terceiro maior valor adicionado bruto"


"2016","3","Sudeste","31","MG","Minas Gerais","3106705","Betim","Região Metropolitana de Belo Horizonte","3107","Metropolitana de Belo Horizonte","31030","Belo Horizonte","310001","Belo Horizonte","do Entorno","3101","Belo Horizonte","do Entorno","3106200","Belo Horizonte/MG","Grande concentração urbana","3106200","Belo Horizonte/MG","Integrante de Metrópole","Metrópole","3108","Região Rural da Metrópole de Belo Horizonte","Região Rural de Metrópole","Não","Não","Não","  18,948 ","  11,662,241 ","  7,996,122 ","  1,915,246 ","  21,592,556 ","  3,563,684 ","  25,156,240 ","  59,561.98 ","Indústrias de transformação","Demais serviços","Comércio e reparação de veículos automotores e motocicletas"
"2017","3","Sudeste","31","MG","Minas Gerais","3106705","Betim","Região Metropolitana de Belo Horizonte","3107","Metropolitana de Belo Horizonte","31030","Belo Horizonte","310001","Belo Horizonte","do Entorno","3101","Belo Horizonte","do Entorno","3106200","Belo Horizonte/MG","Grande concentração urbana","3106200","Belo Horizonte/MG","Integrante de Metrópole","Metrópole","3108","Região Rural da Metrópole de Belo Horizonte","Região Rural de Metrópole","Não","Não","Não","  13,311 ","  10,778,506 ","  7,384,106 ","  2,062,248 ","  20,238,171 ","  2,853,790 ","  23,091,961 ","  54,061.05 ","Indústrias de transformação","Demais serviços","Comércio e reparação de veículos automotores e motocicletas"
"2018","3","Sudeste","31","MG","Minas Gerais","3106705","Betim","Região Metropolitana de Belo Horizonte","3107","Metropolitana de Belo Horizonte","31030","Belo Horizonte","310001","Belo Horizonte","do Entorno","3101","Belo Horizonte","do Entorno","3106200","Belo Horizonte/MG","Grande concentração urbana","3106200","Belo Horizonte/MG","Integrante de Metrópole","Metrópole","3108","Região Rural da Metrópole de Belo Horizonte","Região Rural de Metrópole","Não","Não","Não","  12,827 ","  10,082,257 ","  8,979,913 ","  2,198,237 ","  21,273,235 ","  4,202,909 ","  25,476,143 ","  58,894.16 ","Indústrias de transformação","Demais serviços","Administração, defesa, educação e saúde públicas e seguridade social"
"2019","3","Sudeste","31","MG","Minas Gerais","3106705","Betim","Região Metropolitana de Belo Horizonte","3107","Metropolitana de Belo Horizonte","31030","Belo Horizonte","310001","Belo Horizonte","do Entorno","3101","Belo Horizonte","do Entorno","3106200","Belo Horizonte/MG","Grande concentração urbana","3106200","Belo Horizonte/MG","Integrante de Metrópole","Metrópole","3108","Região Rural da Metrópole de Belo Horizonte","Região Rural de Metrópole","Não","Não","Não","  12,977 ","  11,537,468 ","  9,924,629 ","  2,212,077 ","  23,687,150 ","  4,379,098 ","  28,066,248 ","  63,882.75 ","Indústrias de transformação","Demais serviços","Comércio e reparação de veículos automotores e motocicletas"

"2002","3","Sudeste","31","MG","Minas Gerais","3108107","Bonfim","Região Metropolitana de Belo Horizonte","3107","Metropolitana de Belo Horizonte","31032","Itaguara","310069","Oliveira","do Entorno","3113","Divinópolis","do Entorno","","","","","","Centro Local","Centro Local","3108","Região Rural da Metrópole de Belo Horizonte","Região Rural de Metrópole","Não","Não","Não","  2,877 ","  737 ","  5,169 ","  6,826 ","  15,610 ","  851 ","  16,460 ","  2,429.54 "
"2003","3","Sudeste","31","MG","Minas Gerais","3108107","Bonfim","Região Metropolitana de Belo Horizonte","3107","Metropolitana de Belo Horizonte","31032","Itaguara","310069","Oliveira","do Entorno","3113","Divinópolis","do Entorno","","","","","","Centro Local","Centro Local","3108","Região Rural da Metrópole de Belo Horizonte","Região Rural de Metrópole","Não","Não","Não","  3,348 ","  982 ","  5,963 ","  7,302 ","  17,595 ","  1,229 ","  18,824 ","  2,793.36 "
"2004","3","Sudeste","31","MG","Minas Gerais","3108107","Bonfim","Região Metropolitana de Belo Horizonte","3107","Metropolitana de Belo Horizonte","31032","Itaguara","310069","Oliveira","do Entorno","3113","Divinópolis","do Entorno","","","","","","Centro Local","Centro Local","3108","Região Rural da Metrópole de Belo Horizonte","Região Rural de Metrópole","Não","Não","Não","  4,075 ","  1,153 ","  7,066 ","  7,622 ","  19,916 ","  1,189 ","  21,105 ","  3,148.54 "
"2005","3","Sudeste","31","MG","Minas Gerais","3108107","Bonfim","Região Metropolitana de Belo Horizonte","3107","Metropolitana de Belo Horizonte","31032","Itaguara","310069","Oliveira","do Entorno","3113","Divinópolis","do Entorno","","","","","","Centro Local","Centro Local","3108","Região Rural da Metrópole de Belo Horizonte","Região Rural de Metrópole","Não","Não","Não","  4,742 ","  1,676 ","  8,841 ","  8,441 ","  23,699 ","  1,606 ","  25,305 ","  3,795.54 "
"2006","3","Sudeste","31","MG","Minas Gerais","3108107","Bonfim","Região Metropolitana de Belo Horizonte","3107","Metropolitana de Belo Horizonte","31032","Itaguara","310069","Oliveira","do Entorno","3113","Divinópolis","do Entorno","","","","","","Centro Local","Centro Local","3108","Região Rural da Metrópole de Belo Horizonte","Região Rural de Metrópole","Não","Não","Não","  4,558 ","  1,919 ","  9,737 ","  9,351 ","  25,564 ","  1,600 ","  27,165 ","  4,095.99 "
"2007","3","Sudeste","31","MG","Minas Gerais","3108107","Bonfim","Região Metropolitana de Belo Horizonte","3107","Metropolitana de Belo Horizonte","31032","Itaguara","310069","Oliveira","do Entorno","3113","Divinópolis","do Entorno","","","","","","Centro Local","Centro Local","3108","Região Rural da Metrópole de Belo Horizonte","Região Rural de Metrópole","Não","Não","Não","  5,362 ","  2,088 ","  12,076 ","  10,619 ","  30,146 ","  2,072 ","  32,218 ","  4,797.93 "
"2008","3","Sudeste","31","MG","Minas Gerais","3108107","Bonfim","Região Metropolitana de Belo Horizonte","3107","Metropolitana de Belo Horizonte","31032","Itaguara","310069","Oliveira","do Entorno","3113","Divinópolis","do Entorno","","","","","","Centro Local","Centro Local","3108","Região Rural da Metrópole de Belo Horizonte","Região Rural de Metrópole","Não","Não","Não","  5,520 ","  2,131 ","  10,767 ","  12,778 ","  31,194 ","  1,488 ","  32,682 ","  4,733.77 "
"2009","3","Sudeste","31","MG","Minas Gerais","3108107","Bonfim","Região Metropolitana de Belo Horizonte","3107","Metropolitana de Belo Horizonte","31032","Itaguara","310069","Oliveira","do Entorno","3113","Divinópolis","do Entorno","","","","","","Centro Local","Centro Local","3108","Região Rural da Metrópole de Belo Horizonte","Região Rural de Metrópole","Não","Não","Não","  6,082 ","  3,252 ","  12,755 ","  13,557 ","  35,646 ","  1,615 ","  37,261 ","  5,398.55 "
"2010","3","Sudeste","31","MG","Minas Gerais","3108107","Bonfim","Região Metropolitana de Belo Horizonte","3107","Metropolitana de Belo Horizonte","31032","Itaguara","310069","Oliveira","do Entorno","3113","Divinópolis","do Entorno","","","","","","Centro Local","Centro Local","3108","Região Rural da Metrópole de Belo Horizonte","Região Rural de Metrópole","Não","Não","Não","  7,326 ","  2,787 ","  14,732 ","  15,638 ","  40,483 ","  1,804 ","  42,287 ","  6,204.14 ","Administração, defesa, educação e saúde públicas e seguridade social","Demais serviços","Agricultura, inclusive apoio à agricultura e a pós colheita"
"2011","3","Sudeste","31","MG","Minas Gerais","3108107","Bonfim","Região Metropolitana de Belo Horizonte","3107","Metropolitana de Belo Horizonte","31032","Itaguara","310069","Oliveira","do Entorno","3113","Divinópolis","do Entorno","","","","","","Centro Local","Centro Local","3108","Região Rural da Metrópole de Belo Horizonte","Região Rural de Metrópole","Não","Não","Não","  8,670 ","  4,965 ","  16,644 ","  17,358 ","  47,637 ","  2,179 ","  49,816 ","  7,309.82 ","Administração, defesa, educação e saúde públicas e seguridade social","Demais serviços","Agricultura, inclusive apoio à agricultura e a pós colheita"
"2012","3","Sudeste","31","MG","Minas Gerais","3108107","Bonfim","Região Metropolitana de Belo Horizonte","3107","Metropolitana de Belo Horizonte","31032","Itaguara","310069","Oliveira","do Entorno","3113","Divinópolis","do Entorno","","","","","","Centro Local","Centro Local","3108","Região Rural da Metrópole de Belo Horizonte","Região Rural de Metrópole","Não","Não","Não","  10,824 ","  5,668 ","  20,225 ","  19,147 ","  55,864 ","  2,608 ","  58,472 ","  8,584.90 ","Administração, defesa, educação e saúde públicas e seguridade social","Demais serviços","Agricultura, inclusive apoio à agricultura e a pós colheita"
"2013","3","Sudeste","31","MG","Minas Gerais","3108107","Bonfim","Região Metropolitana de Belo Horizonte","3107","Metropolitana de Belo Horizonte","31032","Itaguara","310069","Oliveira","do Entorno","3113","Divinópolis","do Entorno","","","","","","Centro Local","Centro Local","3108","Região Rural da Metrópole de Belo Horizonte","Região Rural de Metrópole","Não","Não","Não","  14,197 ","  3,286 ","  22,853 ","  21,607 ","  61,944 ","  2,058 ","  64,002 ","  9,127.43 ","Administração, defesa, educação e saúde públicas e seguridade social","Demais serviços","Agricultura, inclusive apoio à agricultura e a pós colheita"
"2014","3","Sudeste","31","MG","Minas Gerais","3108107","Bonfim","Região Metropolitana de Belo Horizonte","3107","Metropolitana de Belo Horizonte","31032","Itaguara","310069","Oliveira","do Entorno","3113","Divinópolis","do Entorno","","","","","","Centro Local","Centro Local","3108","Região Rural da Metrópole de Belo Horizonte","Região Rural de Metrópole","Não","Não","Não","  14,421 ","  4,596 ","  30,337 ","  23,246 ","  72,599 ","  3,871 ","  76,470 ","  10,902.48 ","Demais serviços","Administração, defesa, educação e saúde públicas e seguridade social","Agricultura, inclusive apoio à agricultura e a pós colheita"
"2015","3","Sudeste","31","MG","Minas Gerais","3108107","Bonfim","Região Metropolitana de Belo Horizonte","3107","Metropolitana de Belo Horizonte","31032","Itaguara","310069","Oliveira","do Entorno","3113","Divinópolis","do Entorno","","","","","","Centro Local","Centro Local","3108","Região Rural da Metrópole de Belo Horizonte","Região Rural de Metrópole","Não","Não","Não","  13,259 ","  5,687 ","  29,383 ","  25,598 ","  73,927 ","  3,538 ","  77,465 ","  11,041.19 ","Demais serviços","Administração, defesa, educação e saúde públicas e seguridade social","Agricultura, inclusive apoio à agricultura e a pós colheita"
"2016","3","Sudeste","31","MG","Minas Gerais","3108107","Bonfim","Região Metropolitana de Belo Horizonte","3107","Metropolitana de Belo Horizonte","31032","Itaguara","310069","Oliveira","do Entorno","3113","Divinópolis","do Entorno","","","","","","Centro Local","Centro Local","3108","Região Rural da Metrópole de Belo Horizonte","Região Rural de Metrópole","Não","Não","Não","  16,985 ","  5,434 ","  33,753 ","  27,461 ","  83,633 ","  4,493 ","  88,126 ","  12,557.11 ","Demais serviços","Administração, defesa, educação e saúde públicas e seguridade social","Agricultura, inclusive apoio à agricultura e a pós colheita"
"2017","3","Sudeste","31","MG","Minas Gerais","3108107","Bonfim","Região Metropolitana de Belo Horizonte","3107","Metropolitana de Belo Horizonte","31032","Itaguara","310069","Oliveira","do Entorno","3113","Divinópolis","do Entorno","","","","","","Centro Local","Centro Local","3108","Região Rural da Metrópole de Belo Horizonte","Região Rural de Metrópole","Não","Não","Não","  12,038 ","  4,767 ","  35,140 ","  29,365 ","  81,309 ","  4,687 ","  85,996 ","  12,250.13 ","Demais serviços","Administração, defesa, educação e saúde públicas e seguridade social","Agricultura, inclusive apoio à agricultura e a pós colheita"
"2018","3","Sudeste","31","MG","Minas Gerais","3108107","Bonfim","Região Metropolitana de Belo Horizonte","3107","Metropolitana de Belo Horizonte","31032","Itaguara","310069","Oliveira","do Entorno","3113","Divinópolis","do Entorno","","","","","","Centro Local","Centro Local","3108","Região Rural da Metrópole de Belo Horizonte","Região Rural de Metrópole","Não","Não","Não","  12,618 ","  4,895 ","  37,510 ","  30,242 ","  85,266 ","  4,624 ","  89,890 ","  13,073.04 ","Demais serviços","Administração, defesa, educação e saúde públicas e seguridade social","Agricultura, inclusive apoio à agricultura e a pós colheita"
"2019","3","Sudeste","31","MG","Minas Gerais","3108107","Bonfim","Região Metropolitana de Belo Horizonte","3107","Metropolitana de Belo Horizonte","31032","Itaguara","310069","Oliveira","do Entorno","3113","Divinópolis","do Entorno","","","","","","Centro Local","Centro Local","3108","Região Rural da Metrópole de Belo Horizonte","Região Rural de Metrópole","Não","Não","Não","  14,592 ","  9,781 ","  41,414 ","  30,739 ","  96,526 ","  5,797 ","  102,323 ","  14,898.51 ","Demais serviços","Administração, defesa, educação e saúde públicas e seguridade social","Agricultura, inclusive apoio à agricultura e a pós colheita"

"2002","3","Sudeste","31","MG","Minas Gerais","3109006","Brumadinho","Região Metropolitana de Belo Horizonte","3107","Metropolitana de Belo Horizonte","31030","Belo Horizonte","310001","Belo Horizonte","do Entorno","3101","Belo Horizonte","do Entorno","3106200","Belo Horizonte/MG","Grande concentração urbana","3106200","Belo Horizonte/MG","Integrante de Metrópole","Metrópole","3108","Região Rural da Metrópole de Belo Horizonte","Região Rural de Metrópole","Não","Não","Não","  6,240 ","  95,620 ","  70,321 ","  32,635 ","  204,815 ","  13,421 ","  218,237 ","  7,600.89 "
"2003","3","Sudeste","31","MG","Minas Gerais","3109006","Brumadinho","Região Metropolitana de Belo Horizonte","3107","Metropolitana de Belo Horizonte","31030","Belo Horizonte","310001","Belo Horizonte","do Entorno","3101","Belo Horizonte","do Entorno","3106200","Belo Horizonte/MG","Grande concentração urbana","3106200","Belo Horizonte/MG","Integrante de Metrópole","Metrópole","3108","Região Rural da Metrópole de Belo Horizonte","Região Rural de Metrópole","Não","Não","Não","  7,847 ","  173,486 ","  91,221 ","  37,605 ","  310,160 ","  17,346 ","  327,506 ","  11,087.60 "
"2004","3","Sudeste","31","MG","Minas Gerais","3109006","Brumadinho","Região Metropolitana de Belo Horizonte","3107","Metropolitana de Belo Horizonte","31030","Belo Horizonte","310001","Belo Horizonte","do Entorno","3101","Belo Horizonte","do Entorno","3106200","Belo Horizonte/MG","Grande concentração urbana","3106200","Belo Horizonte/MG","Integrante de Metrópole","Metrópole","3108","Região Rural da Metrópole de Belo Horizonte","Região Rural de Metrópole","Não","Não","Não","  9,132 ","  191,732 ","  102,427 ","  44,526 ","  347,817 ","  23,644 ","  371,461 ","  12,234.39 "
"2005","3","Sudeste","31","MG","Minas Gerais","3109006","Brumadinho","Região Metropolitana de Belo Horizonte","3107","Metropolitana de Belo Horizonte","31030","Belo Horizonte","310001","Belo Horizonte","do Entorno","3101","Belo Horizonte","do Entorno","3106200","Belo Horizonte/MG","Grande concentração urbana","3106200","Belo Horizonte/MG","Integrante de Metrópole","Metrópole","3108","Região Rural da Metrópole de Belo Horizonte","Região Rural de Metrópole","Não","Não","Não","  11,552 ","  291,130 ","  133,945 ","  51,574 ","  488,202 ","  33,542 ","  521,743 ","  16,727.36 "
"2006","3","Sudeste","31","MG","Minas Gerais","3109006","Brumadinho","Região Metropolitana de Belo Horizonte","3107","Metropolitana de Belo Horizonte","31030","Belo Horizonte","310001","Belo Horizonte","do Entorno","3101","Belo Horizonte","do Entorno","3106200","Belo Horizonte/MG","Grande concentração urbana","3106200","Belo Horizonte/MG","Integrante de Metrópole","Metrópole","3108","Região Rural da Metrópole de Belo Horizonte","Região Rural de Metrópole","Não","Não","Não","  11,510 ","  249,882 ","  149,322 ","  65,706 ","  476,420 ","  36,002 ","  512,422 ","  16,006.18 "
"2007","3","Sudeste","31","MG","Minas Gerais","3109006","Brumadinho","Região Metropolitana de Belo Horizonte","3107","Metropolitana de Belo Horizonte","31030","Belo Horizonte","310001","Belo Horizonte","do Entorno","3101","Belo Horizonte","do Entorno","3106200","Belo Horizonte/MG","Grande concentração urbana","3106200","Belo Horizonte/MG","Integrante de Metrópole","Metrópole","3108","Região Rural da Metrópole de Belo Horizonte","Região Rural de Metrópole","Não","Não","Não","  12,662 ","  234,584 ","  162,840 ","  78,442 ","  488,529 ","  43,827 ","  532,356 ","  16,654.33 "
"2008","3","Sudeste","31","MG","Minas Gerais","3109006","Brumadinho","Região Metropolitana de Belo Horizonte","3107","Metropolitana de Belo Horizonte","31030","Belo Horizonte","310001","Belo Horizonte","do Entorno","3101","Belo Horizonte","do Entorno","3106200","Belo Horizonte/MG","Grande concentração urbana","3106200","Belo Horizonte/MG","Integrante de Metrópole","Metrópole","3108","Região Rural da Metrópole de Belo Horizonte","Região Rural de Metrópole","Não","Não","Não","  13,423 ","  386,088 ","  208,620 ","  97,737 ","  705,868 ","  56,821 ","  762,689 ","  22,636.41 "
"2009","3","Sudeste","31","MG","Minas Gerais","3109006","Brumadinho","Região Metropolitana de Belo Horizonte","3107","Metropolitana de Belo Horizonte","31030","Belo Horizonte","310001","Belo Horizonte","do Entorno","3101","Belo Horizonte","do Entorno","3106200","Belo Horizonte/MG","Grande concentração urbana","3106200","Belo Horizonte/MG","Integrante de Metrópole","Metrópole","3108","Região Rural da Metrópole de Belo Horizonte","Região Rural de Metrópole","Não","Não","Não","  14,768 ","  290,518 ","  207,675 ","  97,055 ","  610,015 ","  42,855 ","  652,869 ","  18,983.72 "
"2010","3","Sudeste","31","MG","Minas Gerais","3109006","Brumadinho","Região Metropolitana de Belo Horizonte","3107","Metropolitana de Belo Horizonte","31030","Belo Horizonte","310001","Belo Horizonte","do Entorno","3101","Belo Horizonte","do Entorno","3106200","Belo Horizonte/MG","Grande concentração urbana","3106200","Belo Horizonte/MG","Integrante de Metrópole","Metrópole","3108","Região Rural da Metrópole de Belo Horizonte","Região Rural de Metrópole","Não","Não","Não","  15,512 ","  787,702 ","  332,982 ","  110,244 ","  1,246,439 ","  88,742 ","  1,335,180 ","  39,254.99 ","Indústrias extrativas","Demais serviços","Administração, defesa, educação e saúde públicas e seguridade social"
"2011","3","Sudeste","31","MG","Minas Gerais","3109006","Brumadinho","Região Metropolitana de Belo Horizonte","3107","Metropolitana de Belo Horizonte","31030","Belo Horizonte","310001","Belo Horizonte","do Entorno","3101","Belo Horizonte","do Entorno","3106200","Belo Horizonte/MG","Grande concentração urbana","3106200","Belo Horizonte/MG","Integrante de Metrópole","Metrópole","3108","Região Rural da Metrópole de Belo Horizonte","Região Rural de Metrópole","Não","Não","Não","  19,202 ","  1,440,591 ","  501,534 ","  125,551 ","  2,086,878 ","  107,593 ","  2,194,472 ","  63,537.89 ","Indústrias extrativas","Demais serviços","Administração, defesa, educação e saúde públicas e seguridade social"
"2012","3","Sudeste","31","MG","Minas Gerais","3109006","Brumadinho","Região Metropolitana de Belo Horizonte","3107","Metropolitana de Belo Horizonte","31030","Belo Horizonte","310001","Belo Horizonte","do Entorno","3101","Belo Horizonte","do Entorno","3106200","Belo Horizonte/MG","Grande concentração urbana","3106200","Belo Horizonte/MG","Integrante de Metrópole","Metrópole","3108","Região Rural da Metrópole de Belo Horizonte","Região Rural de Metrópole","Não","Não","Não","  22,359 ","  1,530,642 ","  585,476 ","  153,387 ","  2,291,863 ","  110,125 ","  2,401,988 ","  68,461.96 ","Indústrias extrativas","Demais serviços","Administração, defesa, educação e saúde públicas e seguridade social"
"2013","3","Sudeste","31","MG","Minas Gerais","3109006","Brumadinho","Região Metropolitana de Belo Horizonte","3107","Metropolitana de Belo Horizonte","31030","Belo Horizonte","310001","Belo Horizonte","do Entorno","3101","Belo Horizonte","do Entorno","3106200","Belo Horizonte/MG","Grande concentração urbana","3106200","Belo Horizonte/MG","Integrante de Metrópole","Metrópole","3108","Região Rural da Metrópole de Belo Horizonte","Região Rural de Metrópole","Não","Não","Não","  23,985 ","  1,899,776 ","  722,364 ","  187,952 ","  2,834,077 ","  132,566 ","  2,966,643 ","  80,729.36 ","Indústrias extrativas","Demais serviços","Administração, defesa, educação e saúde públicas e seguridade social"
"2014","3","Sudeste","31","MG","Minas Gerais","3109006","Brumadinho","Região Metropolitana de Belo Horizonte","3107","Metropolitana de Belo Horizonte","31030","Belo Horizonte","310001","Belo Horizonte","do Entorno","3101","Belo Horizonte","do Entorno","3106200","Belo Horizonte/MG","Grande concentração urbana","3106200","Belo Horizonte/MG","Integrante de Metrópole","Metrópole","3108","Região Rural da Metrópole de Belo Horizonte","Região Rural de Metrópole","Não","Não","Não","  24,829 ","  1,851,868 ","  726,653 ","  219,849 ","  2,823,199 ","  134,450 ","  2,957,648 ","  79,263.77 ","Indústrias extrativas","Demais serviços","Administração, defesa, educação e saúde públicas e seguridade social"
"2015","3","Sudeste","31","MG","Minas Gerais","3109006","Brumadinho","Região Metropolitana de Belo Horizonte","3107","Metropolitana de Belo Horizonte","31030","Belo Horizonte","310001","Belo Horizonte","do Entorno","3101","Belo Horizonte","do Entorno","3106200","Belo Horizonte/MG","Grande concentração urbana","3106200","Belo Horizonte/MG","Integrante de Metrópole","Metrópole","3108","Região Rural da Metrópole de Belo Horizonte","Região Rural de Metrópole","Não","Não","Não","  22,727 ","  782,206 ","  486,036 ","  208,648 ","  1,499,616 ","  101,725 ","  1,601,341 ","  42,299.73 ","Indústrias extrativas","Demais serviços","Administração, defesa, educação e saúde públicas e seguridade social"
"2016","3","Sudeste","31","MG","Minas Gerais","3109006","Brumadinho","Região Metropolitana de Belo Horizonte","3107","Metropolitana de Belo Horizonte","31030","Belo Horizonte","310001","Belo Horizonte","do Entorno","3101","Belo Horizonte","do Entorno","3106200","Belo Horizonte/MG","Grande concentração urbana","3106200","Belo Horizonte/MG","Integrante de Metrópole","Metrópole","3108","Região Rural da Metrópole de Belo Horizonte","Região Rural de Metrópole","Não","Não","Não","  29,033 ","  775,757 ","  494,082 ","  221,420 ","  1,520,291 ","  96,071 ","  1,616,362 ","  42,122.38 ","Indústrias extrativas","Demais serviços","Administração, defesa, educação e saúde públicas e seguridade social"
"2017","3","Sudeste","31","MG","Minas Gerais","3109006","Brumadinho","Região Metropolitana de Belo Horizonte","3107","Metropolitana de Belo Horizonte","31030","Belo Horizonte","310001","Belo Horizonte","do Entorno","3101","Belo Horizonte","do Entorno","3106200","Belo Horizonte/MG","Grande concentração urbana","3106200","Belo Horizonte/MG","Integrante de Metrópole","Metrópole","3108","Região Rural da Metrópole de Belo Horizonte","Região Rural de Metrópole","Não","Não","Não","  17,875 ","  1,070,302 ","  571,495 ","  218,192 ","  1,877,864 ","  111,593 ","  1,989,457 ","  51,191.54 ","Indústrias extrativas","Demais serviços","Administração, defesa, educação e saúde públicas e seguridade social"
"2018","3","Sudeste","31","MG","Minas Gerais","3109006","Brumadinho","Região Metropolitana de Belo Horizonte","3107","Metropolitana de Belo Horizonte","31030","Belo Horizonte","310001","Belo Horizonte","do Entorno","3101","Belo Horizonte","do Entorno","3106200","Belo Horizonte/MG","Grande concentração urbana","3106200","Belo Horizonte/MG","Integrante de Metrópole","Metrópole","3108","Região Rural da Metrópole de Belo Horizonte","Região Rural de Metrópole","Não","Não","Não","  18,282 ","  1,497,009 ","  699,855 ","  228,309 ","  2,443,455 ","  141,537 ","  2,584,991 ","  65,409.70 ","Indústrias extrativas","Demais serviços","Administração, defesa, educação e saúde públicas e seguridade social"
"2019","3","Sudeste","31","MG","Minas Gerais","3109006","Brumadinho","Região Metropolitana de Belo Horizonte","3107","Metropolitana de Belo Horizonte","31030","Belo Horizonte","310001","Belo Horizonte","do Entorno","3101","Belo Horizonte","do Entorno","3106200","Belo Horizonte/MG","Grande concentração urbana","3106200","Belo Horizonte/MG","Integrante de Metrópole","Metrópole","3108","Região Rural da Metrópole de Belo Horizonte","Região Rural de Metrópole","Não","Não","Não","  22,008 ","  1,041,129 ","  982,042 ","  255,486 ","  2,300,665 ","  215,568 ","  2,516,233 ","  62,744.25 ","Demais serviços","Indústrias extrativas","Administração, defesa, educação e saúde públicas e seguridade social"

"2002","3","Sudeste","31","MG","Minas Gerais","3109600","Cachoeira da Prata","","3107","Metropolitana de Belo Horizonte","31027","Sete Lagoas","310002","Sete Lagoas","do Entorno","3101","Belo Horizonte","do Entorno","","","","","","Centro Local","Centro Local","3108","Região Rural da Metrópole de Belo Horizonte","Região Rural de Metrópole","Não","Não","Não","  592 ","  6,310 ","  9,505 ","  4,645 ","  21,052 ","  2,199 ","  23,251 ","  6,093.13 "
"2003","3","Sudeste","31","MG","Minas Gerais","3109600","Cachoeira da Prata","","3107","Metropolitana de Belo Horizonte","31027","Sete Lagoas","310002","Sete Lagoas","do Entorno","3101","Belo Horizonte","do Entorno","","","","","","Centro Local","Centro Local","3108","Região Rural da Metrópole de Belo Horizonte","Região Rural de Metrópole","Não","Não","Não","  741 ","  7,384 ","  10,158 ","  4,907 ","  23,191 ","  2,494 ","  25,685 ","  6,706.19 "
